Series Name,Series Code,Country Name,Country Code,2013 [YR2013],Title, TestCol, TestCol
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,French Polynesia,PYF,62,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Gabon,GAB,7787,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Gambia,GMB,799,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Georgia,GEO,1206,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Germany,DEU,213067,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ghana,GHA,39075,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Gibraltar,GIB,189,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greece,GRC,4973,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greenland,GRL,14,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Grenada,GRD,24,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guam,GUM,397,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guatemala,GTM,53509,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guernsey,GGY,252,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guinea,GIN,7575,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guinea-Bissau,GNB,2032,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guyana,GUY,509,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Haiti,HTI,7544,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Honduras,HND,45098,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Hungary,HUN,4564,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Iceland,ISL,1926,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,India,IND,1964536,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Indonesia,IDN,116871,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Iran,IRN,317483,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Iraq,IRQ,137556,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ireland,IRL,26303,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Isle of Man,IMY,336,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Israel,ISR,78324,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Italy,ITA,248803,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Jamaica,JAM,928,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Japan,JPN,42263,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Jersey,JEY,344,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Jordan,JOR,1231,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kazakhstan,KAZ,95942,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kenya,KEN,23873,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kosovo,KSV,9274,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kuwait,KWT,69425,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kyrgyzstan,KGZ,38659,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Laos,LAO,20,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latvia,LVA,1257,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lebanon,LBN,5417,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lesotho,LSO,726,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Liberia,LBR,1221,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Libya,LBY,4224,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Liechtenstein,LIE,89,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lithuania,LTU,2147,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Luxembourg,LUX,7007,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Macedonia,MKD,11201,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Madagascar,MDG,12222,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malawi,MWI,4426,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malaysia,MYS,9023,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Maldives,MDV,4594,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mali,MLI,2546,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malta,MLT,842,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mauritania,MRT,6382,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mauritius,MUS,344,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mexico,MEX,456100,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Moldova,MDA,26222,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Monaco,MCO,125,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mongolia,MNG,293,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Montenegro,MNE,3411,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Montserrat,MSR,13,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Morocco,MAR,28500,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mozambique,MOZ,2079,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Myanmar,MMR,357,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Namibia,NAM,2540,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nepal,NPL,21390,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Netherlands,NLD,56381,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,New Caledonia,NCL,22,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,New Zealand,NZL,1219,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nicaragua,NIC,3902,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Niger,NER,1152,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nigeria,NGA,44890,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Northern Mariana Islands,MNP,46,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Norway,NOR,9362,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Oman,OMN,80286,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Pakistan,PAK,281863,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Palestine,PSE,16981,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Panama,PAN,70231,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Papua New Guinea,PNG,153,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Paraguay,PRY,6060,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Peru,PER,447624,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Philippines,PHL,115980,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Poland,POL,48789,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Portugal,PRT,51848,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Puerto Rico,PRI,19651,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Qatar,QAT,111805,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Romania,ROM,56550,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Russia,RUS,867343,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Rwanda,RWA,2104,,,
